YEAR,MONTH,Predicted_RETAIL_SALES
2021,1,5.830400132185986
2021,2,6.3340295943324065
2021,3,6.842015480078885
2021,4,7.285754101743549
2021,5,6.247237651474649
2021,6,6.752378752987681
2021,7,7.318552551722348
2021,8,7.162294009849745
2021,9,7.809104477310484
2021,10,5.330911100313699
2021,11,5.777746536923729
2021,12,6.228081587579339
2022,1,6.479885149096958
2022,2,6.556823171121721
2022,3,6.598604589764761
2022,4,6.60134061473417
2022,5,6.568513701443607
2022,6,6.618385790522723
2022,7,6.6303339388753955
2022,8,6.595828114990496
2022,9,6.571776671989909
2022,10,6.493831259650932
2022,11,6.6140187045760115
2022,12,6.708266257714399
2023,1,6.49412736194526
2023,2,6.5181468781115655
2023,3,6.538054823610395
2023,4,6.556140132341255
2023,5,6.575505572390796
2023,6,6.599219420137445
2023,7,6.620753426475574
2023,8,6.643086022709809
2023,9,6.670155419669868
2023,10,6.7014866218126485
2023,11,6.741922581895466
2023,12,6.775713687984592
2024,1,6.527189744856599
2024,2,6.552777634854522
2024,3,6.578794428460242
2024,4,6.605320613657568
2024,5,6.632550206455932
2024,6,6.6604351444941585
2024,7,6.688667673399493
2024,8,6.71745841231899
2024,9,6.746787330024603
2024,10,6.776304542622739
2024,11,6.805670588023958
2024,12,6.83411414148506
2025,1,6.584836290690021
2025,2,6.612472860961759
2025,3,6.640578360285161
2025,4,6.66885823947942
2025,5,6.697284260186564
2025,6,6.725809983219051
2025,7,6.75438910500111
2025,8,6.782997109522711
2025,9,6.811589886178012
2025,10,6.8401213177470765
2025,11,6.868570600895822
2025,12,6.896943487191066
2026,1,6.648034710751489
2026,2,6.676133937208874
2026,3,6.704569924043909
2026,4,6.733033772566074
2026,5,6.761512952211234
2026,6,6.789996561768277
2026,7,6.818476661869028
2026,8,6.846948510162946
2026,9,6.875409012104626
2026,10,6.9038584911535
2026,11,6.932301140825672
2026,12,6.9607432377081295
2027,1,6.711915328336119
2027,2,6.740071404587127
2027,3,6.768530424016404
2027,4,6.796991683889729
2027,5,6.825452728387944
2027,6,6.853912261624316
2027,7,6.882369788500654
2027,8,6.910825434274926
2027,9,6.939279729839228
2027,10,6.967733508205441
2027,11,6.99618764484805
2027,12,7.024642738738237
2028,1,6.775823141909001
2028,2,6.80398148449234
2028,3,6.832438221632231
2028,4,6.860895089642469
2028,5,6.8893515920098025
2028,6,6.917807715866616
2028,7,6.946263555608425
2028,8,6.974719254755712
2028,9,7.003174958350769
2028,10,7.0316307792816986
2028,11,7.0600867704263806
2028,12,7.0885429161128855
2029,1,6.83972337564569
2029,2,6.867881086576034
2029,3,6.896336950564148
2029,4,6.924793062850711
2029,5,6.9532491125060005
2029,6,6.981705124435649
2029,7,7.010161127038032
2029,8,7.03861714321215
2029,9,7.067073185805157
2029,10,7.095529256648007
2029,11,7.123985348316836
2029,12,7.1524414483626515
2030,1,6.9036217708017205
2030,2,6.931779328517024
2030,3,6.960235079159844
2030,4,6.988691141418457
2030,5,7.017147199853696
2030,6,7.0456032590209645
2030,7,7.074059322124725
2030,8,7.10251539027027
2030,9,7.130971462746771
2030,10,7.159427537713526
2030,11,7.187883613023956
2030,12,7.216339686971224
2031,1,6.967519984940168
